"RH_CT_Int_Ctrl1" "RH_CT_Int_Ctrl2" "RH_CT_Int_Ctrl3" "RH_CT_Int_Ctrl4" "RH_CT_Int_BM1" "RH_CT_Int_BM2" "RH_CT_Int_BM3" "RH_CT_Int_BM4" "RH_CT_Ext_Ctrl1" "RH_CT_Ext_Ctrl2" "RH_CT_Ext_Ctrl3" "RH_CT_Ext_Ctrl4" "RH_CT_Ext_BM1" "RH_CT_Ext_BM2" "RH_CT_Ext_BM3" "RH_CT_Ext_BM4"
"SH0942069.09FU" 32 37 25 6 1 10 3 5 1 26 0 6 3 1 3 0
"SH0942161.09FU" 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0942591.09FU" 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 0
"SH0943376.09FU" 0 0 0 19 0 0 0 1 0 0 0 9 0 0 0 1
"SH0943618.09FU" 0 0 0 0 27 0 0 0 49 3 1 7 0 0 0 76
"SH0943624.09FU" 0 0 0 0 0 0 0 24 1 0 0 0 0 0 0 0
"SH0943730.09FU" 2 1 10 24 3 29 7 9 51 2 61 48 14 9 4 39
"SH0944531.09FU" 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SH0945041.09FU" 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0
"SH0945181.09FU" 68 61 162 265 118 87 46 46 68 83 99 28 36 42 38 38
"SH0945182.09FU" 0 0 0 5 0 3 0 4 5 0 1 0 0 0 0 2
"SH0945233.09FU" 0 0 0 0 0 10 4 7 0 0 0 0 0 0 0 0
"SH0945284.09FU" 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0
"SH0945292.09FU" 0 0 0 0 0 0 0 0 0 0 0 1 1 0 6 5
"SH0945328.09FU" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"SH0945351.09FU" 7 27 0 11 2 6 53 12 79 111 9 40 4 2 9 5
"SH0945367.09FU" 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0
"SH0945414.09FU" 2 2 2 2 11 2 1 16 89 29 62 67 9 9 195 27
"SH0945418.09FU" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 14
"SH0945462.09FU" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"SH0945505.09FU" 0 0 0 0 0 0 0 3 0 0 0 2 0 0 0 0
"SH0945507.09FU" 0 0 0 0 0 0 0 0 0 0 8 0 5 1 0 0
"SH0946084.09FU" 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
"SH0946114.09FU" 911 2888 929 720 861 645 929 1070 2003 2935 2648 4310 426 487 1291 1337
"SH0946148.09FU" 1 0 0 0 5 1 5 12 17 0 0 0 1 0 3 2
